model,AMPS_Hard,code_completion,code_generation,connections,consecutive_events,integrals_with_game,javascript,logic_with_navigation,math_comp,olympiad,paraphrase,plot_unscrambling,python,simplify,spatial,story_generation,summarize,tablejoin,tablereformat,theory_of_mind,typescript,typos,zebra_puzzle
claude-fable-5-max-effort,99.0,80.435,91.549,99.333,91.36,97.0,68.182,78.0,95.098,92.845,77.65,78.719,65.0,72.033,96.0,71.7,81.7,56.135,94.118,84.615,53.333,94.0,100.0
muse-spark-1.1-xhigh,82.0,78.261,76.056,98.0,71.086,83.0,77.273,78.0,96.078,87.501,69.4,63.026,55.0,65.7,100.0,69.15,74.3,46.558,100.0,76.923,43.333,62.0,96.0
kimi-k3,97.0,82.609,80.282,100.0,89.758,54.0,68.182,80.0,95.098,91.649,74.367,72.584,65.0,66.367,100.0,75.367,69.35,48.404,98.039,82.692,53.333,84.0,100.0
inkling-xhigh,99.0,67.391,74.648,91.167,69.853,72.0,68.182,66.0,97.059,85.4,70.85,53.209,50.0,60.5,94.0,74.183,74.85,48.481,100.0,65.385,30.0,76.0,88.0
gemini-3.5-flash-lite-high,95.0,76.087,76.056,92.0,21.095,26.0,59.091,68.0,92.157,81.801,65.0,49.461,50.0,68.017,90.0,67.467,68.467,40.615,98.039,50.0,26.667,74.0,32.75
gemini-3.6-flash-high,98.0,78.261,77.465,100.0,43.824,63.0,63.636,76.0,94.118,90.492,74.317,63.693,40.0,75.7,100.0,75.6,75.85,47.135,98.039,78.846,26.667,88.0,85.75
claude-opus-5-max-effort,99.01,82.609,80.282,99.333,77.571,97.0,77.273,86.0,94.118,92.796,65.733,74.731,75.0,61.583,100.0,61.317,66.433,51.962,94.118,78.846,43.333,92.0,100.0
claude-opus-4-8-max-effort,98.0,84.783,78.873,99.333,52.905,89.0,68.182,78.0,98.039,92.227,67.867,61.645,50.0,62.0,98.0,80.6,77.667,51.077,94.118,80.769,33.333,78.0,100.0
deepseek-v4-flash-0731,97.0,73.913,76.056,97.333,89.444,65.0,63.636,70.0,96.078,89.081,61.7,58.192,50.0,58.367,90.0,70.5,71.5,48.538,100.0,86.538,26.667,82.0,100.0
qwen3.8-max,98.0,73.913,71.831,94.5,87.142,81.0,77.273,74.0,95.098,91.151,73.317,58.562,60.0,67.35,100.0,76.517,79.15,50.058,98.039,78.846,56.667,86.0,100.0
muse-spark-1.2-xhigh,89.0,80.435,74.648,100.0,82.548,91.0,72.727,88.0,97.059,87.755,74.3,61.724,50.0,68.733,96.0,73.65,80.617,46.827,100.0,80.769,50.0,74.0,95.25
smaug-agentic,98.0,80.435,84.507,100.0,90.425,52.0,77.273,84.0,94.118,91.56,68.633,71.07,60.0,66.617,100.0,76.667,72.05,51.231,98.039,78.846,56.667,82.0,98.25
smaug-mini,98.0,80.435,70.423,91.667,88.496,76.0,59.091,70.0,94.118,90.853,76.183,55.331,70.0,65.383,98.0,78.0,76.1,51.865,96.078,69.231,53.333,84.0,94.0
deepseek-v4-pro-0813,98.0,78.261,76.056,100.0,90.229,94.0,68.182,66.0,97.059,91.286,68.633,64.222,50.0,61.567,96.0,74.933,65.667,49.462,98.039,84.615,46.667,82.0,96.75
grok-4.6,97.0,76.087,77.465,100.0,78.148,85.0,72.727,82.0,97.059,91.213,71.783,67.091,55.0,69.333,98.0,78.267,68.083,43.423,100.0,86.538,43.333,84.0,95.5
gemini-3.7-flash-high,98.0,76.087,81.69,100.0,60.373,88.0,68.182,74.0,96.078,91.794,78.067,66.365,60.0,74.617,100.0,82.25,84.767,45.481,98.039,82.692,46.667,90.0,94.5
qwen3.8-27b,98.0,73.913,77.465,90.5,84.929,65.0,59.091,68.0,94.118,87.733,74.9,56.537,75.0,66.7,96.0,73.1,75.933,48.75,96.078,59.615,50.0,76.0,96.5
ox-alpha-max,98.0,78.261,73.239,71.333,80.353,39.0,54.545,52.0,91.176,81.955,57.467,53.076,60.0,54.483,96.0,70.867,58.183,46.942,100.0,78.846,43.333,74.0,79.5
deepseek-v4-flash-vision-exp,88.0,67.391,69.014,99.333,90.045,76.0,63.636,68.0,97.059,90.168,72.833,57.746,75.0,65.067,96.0,73.833,72.1,50.346,98.039,78.846,56.667,84.0,98.75
glm-5.3,99.0,80.435,77.465,95.333,72.309,69.0,72.727,70.0,96.078,87.514,64.683,60.236,60.0,65.85,96.0,72.133,74.55,42.346,96.078,88.462,50.0,84.0,88.75
glm-5.3-flash,97.0,80.435,77.465,93.667,84.298,45.0,63.636,62.0,93.137,89.841,47.983,60.255,60.0,46.95,96.0,59.883,56.467,48.827,96.078,73.077,46.667,78.0,79.5
qwen3.8-flash-next,99.0,76.087,69.014,90.167,75.623,59.0,68.182,70.0,94.118,91.166,79.467,55.762,70.0,70.25,100.0,81.367,77.35,51.019,96.078,80.769,46.667,78.0,98.75
nemotron-3-ultra-550b-a55b,96.0,69.565,71.831,86.667,18.773,80.0,54.545,68.0,96.078,82.575,77.383,47.767,45.0,72.283,98.0,69.233,74.883,46.558,98.039,61.538,16.667,78.0,71.25
claude-fable-5-1-max-effort,99.0,82.609,90.141,99.333,90.555,99.0,68.182,86.0,97.059,92.968,71.517,75.17,70.0,70.167,100.0,78.1,72.167,56.154,94.118,80.769,60.0,94.0,100.0
gemini-3.8-flash-high,99.0,71.739,73.239,100.0,20.612,80.0,72.727,82.0,95.098,92.159,80.0,73.378,50.0,75.4,100.0,82.75,87.5,45.327,96.078,76.923,40.0,90.0,98.25
muse-spark-1.3-xhigh,99.0,80.435,81.69,94.0,90.504,96.0,77.273,76.0,97.059,91.741,78.617,68.381,55.0,72.517,100.0,77.483,83.4,48.192,100.0,84.615,60.0,86.0,98.0
gpt-6-astra-max,98.0,80.435,80.282,100.0,90.555,100.0,63.636,88.0,97.059,92.166,78.25,86.292,65.0,70.533,98.0,73.983,79.55,58.365,100.0,84.615,43.333,82.0,100.0
smaug-flash,97.0,73.913,80.282,99.333,88.614,76.0,68.182,72.0,97.059,90.198,65.567,60.309,65.0,63.133,98.0,69.983,78.35,50.712,98.039,76.923,50.0,78.0,98.0
deepseek-v4.1-flash-max,98.0,82.609,77.465,100.0,88.722,90.0,81.818,68.0,96.078,89.081,70.733,61.569,90.0,67.067,98.0,72.683,69.65,49.038,100.0,80.769,60.0,82.0,100.0
union-alpha,97.0,82.609,81.69,97.333,74.572,95.0,59.091,80.0,97.059,92.115,57.217,80.334,55.0,58.767,98.0,60.9,61.233,53.154,96.078,75.0,50.0,80.0,70.0
